Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Azulene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.9000
Water Temp (deg C),21.00
Room Temp (deg C),22.74
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.021
=====,=====
Time (s), Temperature (C)
0.00,21.00
60.00,21.00
120.00,21.00
180.00,21.00
240.00,21.00
300.00,21.01
315.00,21.05
330.00,21.68
345.00,22.65
360.00,23.64
375.00,24.55
390.00,25.31
405.00,25.94
420.00,26.44
435.00,26.83
450.00,27.13
465.00,27.36
480.00,27.54
540.00,27.91
600.00,28.02
660.00,28.01
720.00,28.00
780.00,27.99
840.00,27.98
900.00,27.98
960.00,27.97
1020.00,27.96
1080.00,27.95
