Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Biphenyl
Formula,C12H10
Molecular Weight (g/mol),154.212
Sample Weight (g),1.9000
Water Temp (deg C),21.00
Room Temp (deg C),25.62
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.021
=====,=====
Time (s), Temperature (C)
0.00,21.00
60.00,21.01
120.00,21.01
180.00,21.02
240.00,21.02
300.00,21.03
315.00,21.07
330.00,21.69
345.00,22.63
360.00,23.61
375.00,24.51
390.00,25.26
405.00,25.87
420.00,26.36
435.00,26.75
450.00,27.04
465.00,27.27
480.00,27.44
540.00,27.81
600.00,27.92
660.00,27.91
720.00,27.91
780.00,27.91
840.00,27.90
900.00,27.90
960.00,27.90
1020.00,27.89
1080.00,27.89
