Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Decane
Formula,C10H22
Molecular Weight (g/mol),142.285
Sample Weight (g),1.9000
Water Temp (deg C),21.00
Room Temp (deg C),24.19
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.018
=====,=====
Time (s), Temperature (C)
0.00,21.00
60.00,21.00
120.00,21.01
180.00,21.01
240.00,21.01
300.00,21.02
315.00,21.07
330.00,21.79
345.00,22.89
360.00,24.03
375.00,25.07
390.00,25.95
405.00,26.67
420.00,27.24
435.00,27.69
450.00,28.03
465.00,28.30
480.00,28.50
540.00,28.92
600.00,29.05
660.00,29.03
720.00,29.03
780.00,29.02
840.00,29.02
900.00,29.01
960.00,29.00
1020.00,28.99
1080.00,28.99
