Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Eicosane
Formula,C20H42
Molecular Weight (g/mol),282.555
Sample Weight (g),1.9000
Water Temp (deg C),21.00
Room Temp (deg C),24.04
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.015
=====,=====
Time (s), Temperature (C)
0.00,21.00
60.00,21.00
120.00,21.01
180.00,21.01
240.00,21.02
300.00,21.02
315.00,21.07
330.00,21.79
345.00,22.89
360.00,24.02
375.00,25.05
390.00,25.93
405.00,26.64
420.00,27.22
435.00,27.66
450.00,28.00
465.00,28.27
480.00,28.47
540.00,28.88
600.00,29.01
660.00,29.00
720.00,29.00
780.00,28.99
840.00,28.98
900.00,28.97
960.00,28.97
1020.00,28.96
1080.00,28.95
