Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Maltitol
Formula,C12H24O11
Molecular Weight (g/mol),344.310
Sample Weight (g),1.9000
Water Temp (deg C),21.00
Room Temp (deg C),23.84
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.015
=====,=====
Time (s), Temperature (C)
0.00,21.00
60.00,21.01
120.00,21.01
180.00,21.01
240.00,21.01
300.00,21.02
315.00,21.03
330.00,21.19
345.00,21.42
360.00,21.66
375.00,21.88
390.00,22.07
405.00,22.22
420.00,22.34
435.00,22.44
450.00,22.51
465.00,22.57
480.00,22.61
540.00,22.71
600.00,22.73
660.00,22.74
720.00,22.74
780.00,22.74
840.00,22.74
900.00,22.74
960.00,22.75
1020.00,22.75
1080.00,22.75
