Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Palmitic Acid
Formula,C16H32O2
Molecular Weight (g/mol),256.419
Sample Weight (g),1.9000
Water Temp (deg C),21.00
Room Temp (deg C),22.38
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.023
=====,=====
Time (s), Temperature (C)
0.00,21.00
60.00,21.00
120.00,21.00
180.00,21.00
240.00,21.01
300.00,21.01
315.00,21.05
330.00,21.64
345.00,22.55
360.00,23.49
375.00,24.34
390.00,25.06
405.00,25.65
420.00,26.12
435.00,26.49
450.00,26.77
465.00,26.99
480.00,27.15
540.00,27.50
600.00,27.61
660.00,27.59
720.00,27.59
780.00,27.58
840.00,27.57
900.00,27.56
960.00,27.55
1020.00,27.55
1080.00,27.54
