Filename,2024_09_17_Benzoic_Acid_CHM343_DSC
Instrument name,DSC2A-00468 (192.168.1.100)
Operator,CHM343
rundate,9/17/2024
Sample name,2024_09_17_Benzoic_Acid_CHM343_DSC
proceduresegments,Equilibrate 50.00 °C; Ramp 10.00 °C/min to 150.00 °C; Isothermal 1.0 min; Ramp 10.00 °C/min to 50.00 °C; Isothermal 1.0 min; Ramp 10.00 °C/min to 150.00 °C
[File Parameters]
Run date,9/17/2024 2:23:31 PM
Trios version,5.1.1.46572
Original File Name,
Current File Name,C:\ProgramData\TA Instruments\TRIOS\Data\2024_09_17_Benzoic_Acid_CHM343_DSC.tri
[Procedure]
Procedure Name,CHM343_Fall2024_Benzoic_Acid
Sample Name,2024_09_17_Benzoic_Acid_CHM343_DSC
Sample Mass,2.94 mg
Reference Sample Mass,0 mg
Pan Mass,54.47 mg
Pan Number,20
Reference Pan Mass,54 mg
Reference Pan Number,19
Pan Type,Aluminum
Comments,"Benzoic Acid in Al Hermetic Sealed Pan, with ref Al pan."
Project Name,Lab 4 - Fall 2024
Operator,CHM343
Test,Custom
Unload Max Temperature,30
Unload Min Temperature,30
Load Max Temperature,30
Load Min Temperature,30
Stop on Gas Flow Error,Yes
[Signal List]
Signal #1,Time (min)
Signal #2,Temperature (°C)
Signal #3,Heat Flow (mW)
Signal #4,Delta T (µV)
Signal #5,Delta Tzero (µV)
Signal #6,Tzero Temperature (°C)
Signal #7,Cell Purge (mL/min)
Signal #8,Heater Temp (°C)
Signal #9,Power Delivered (W)
Signal #10,Reference Junction Temperature (°C)
Signal #11,Flange Temperature (°C)
Signal #12,Heat Flow Phase (rad)
Signal #13,Total Heat Capacity (J/°C)
Signal #14,Heat Capacity (J/°C)
[Configuration]
Company Name,ASU
Instrument Name,DSC2A-00468
Instrument Type,DSC2500
Serial Number,DSC2A-00468
IP,192.168.1.100
Location of Instrument,MRRC
DisplayType,Unknown
Sample Interval ,0.1 s/pt
Selected Heat Flow,T4P
Exotherm Direction,Down
Cell Serial,DRC2-00792
Lid Type,Standard
Cooler,RCS 90
Leave Cooler on at End of Sequence,On
Gas 2,Nitrogen
Gas Selected,Channel 1
Flow Rate,50 mL/min
Secondary Purge,On
Licensed Heat Flow,Heat Flow T4P
Modulation Licensed,Yes
[Versions]
Common IDD Version,1
Cortex Version,VER 2.10.2.31
Driver,5.0.0.6
GDM Version,1.0.3.3
TouchscreenVersion,1.0.0.16145
FEP Version,1.2.1.21
FEP Bootloader,2.0.0.5
AutoSampler Version,2.1.1.26
Auto Sampler Bootloader,2.0.0.5
FCM Version,1.1.0.3
FCM Bootloader,2.0.0.5
[Experiment Logs]
Experiment Log Entry # 1,Equilibrate Segment 50 (C) Started
Experiment Log Entry # 3,Air Cool is off.
Experiment Log Entry # 5,Ramp Segment 10 C/min to 150 Started
Experiment Log Entry # 7,Isothermal Segment 1 min started
Experiment Log Entry # 9,Ramp Segment 10 C/min to 50 Started
Experiment Log Entry # 11,Isothermal Segment 1 min started
Experiment Log Entry # 13,Ramp Segment 10 C/min to 150 Started
[Method Log]
Method Log Entry # 1,Equilibrate 50 °C
