Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),2.0000
Water Temp (deg C),24.00
Room Temp (deg C),24.16
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.017
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,24.01
60.00,24.01
90.00,23.99
120.00,23.99
150.00,24.01
180.00,23.99
210.00,23.98
240.00,24.00
270.00,24.02
300.00,23.99
330.00,24.91
360.00,26.37
390.00,27.49
420.00,28.24
450.00,28.68
480.00,28.90
510.00,29.05
540.00,29.15
570.00,29.18
600.00,29.22
630.00,29.23
660.00,29.22
690.00,29.23
720.00,29.24
750.00,29.22
780.00,29.21
810.00,29.22
840.00,29.19
870.00,29.20
900.00,29.21
930.00,29.19
960.00,29.20
