Filename,2025_09_09_DSC_Benzoic_Acid_CHM343
Instrument name,DSC2A-00468 (192.168.1.100)
Operator,Zoom ASU Sync
rundate,9/9/2025
Sample name,2025_09_09_DSC_Benzoic_Acid_CHM343
proceduresegments,Data Off ; Equilibrate 30.00 °C; Data On ; Ramp 10.00 °C/min to 150.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 10.00 °C/min to 30.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 10.00 °C/min to 150.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 10.00 °C/min to 30.00 °C
[File Parameters]
Run date,9/9/2025 7:23:04 PM
Trios version,5.1.1.46572
Original File Name,
Current File Name,D:\DSC2500\CHM343\2025_09_09_DSC_Benzoic_Acid_CHM343.tri
[Procedure]
Procedure Name,Empty_n60C_250C_10Cmin_x3
Sample Name,2025_09_09_DSC_Benzoic_Acid_CHM343
Sample Mass,14.16 mg
Reference Sample Mass,0 mg
Pan Mass,56.79 mg
Pan Number,4
Reference Pan Mass,56.82 mg
Reference Pan Number,10
Pan Type,Tzero Aluminum Hermetic
Comments,DSC_Samples_Y1_Tray_CHM343_Sept2025 google sheet.
Project Name,CHM343
Operator,Zoom ASU Sync
Test,Custom
Unload Max Temperature,30
Unload Min Temperature,30
Load Max Temperature,30
Load Min Temperature,30
Stop on Gas Flow Error,Yes
[Signal List]
Signal #1,Time (min)
Signal #2,Temperature (°C)
Signal #3,Heat Flow (mW)
Signal #4,Delta T (µV)
Signal #5,Delta Tzero (µV)
Signal #6,Tzero Temperature (°C)
Signal #7,Cell Purge (mL/min)
Signal #8,Heater Temp (°C)
Signal #9,Power Delivered (W)
Signal #10,Reference Junction Temperature (°C)
Signal #11,Flange Temperature (°C)
Signal #12,Heat Flow Phase (rad)
Signal #13,Total Heat Capacity (J/°C)
Signal #14,Heat Capacity (J/°C)
[Configuration]
Company Name,ASU
Instrument Name,DSC2A-00468
Instrument Type,DSC2500
Serial Number,DSC2A-00468
IP,192.168.1.100
Location of Instrument,MRRC
DisplayType,Unknown
Sample Interval ,0.1 s/pt
