Filename,2025_09_11_Indium_Std_CHM343_DSC
Instrument name,DSC2A-00468 (192.168.1.100)
Operator,Zoom ASU Sync
rundate,9/11/2025
Sample name,2025_09_11_Indium_Std_CHM343_DSC
proceduresegments,Data Off ; Equilibrate 100.00 °C; Data On ; Ramp 10.00 °C/min to 200.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 10.00 °C/min to 100.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 10.00 °C/min to 200.00 °C; Data Off ; Isothermal 1.0 min; Data On ; Ramp 10.00 °C/min to 100.00 °C
[File Parameters]
Run date,9/11/2025 10:53:22 AM
Trios version,5.1.1.46572
Original File Name,
Current File Name,D:\DSC2500\CHM343\2025_09_11_Indium_Std_CHM343_DSC.tri
[Procedure]
Procedure Name,Indium_100C_200C_10Cmin
Sample Name,2025_09_11_Indium_Std_CHM343_DSC
Sample Mass,8.19 mg
Reference Sample Mass,0 mg
Pan Mass,56.76 mg
Pan Number,3
Reference Pan Mass,56.82 mg
Reference Pan Number,10
Pan Type,Tzero Aluminum Hermetic
Comments,DSC_Samples_Y1_Tray_CHM343_Sept2025 Google Sheet.
Project Name,CHM343
Operator,Zoom ASU Sync
Test,Custom
Unload Max Temperature,30
Unload Min Temperature,30
Load Max Temperature,30
Load Min Temperature,30
Stop on Gas Flow Error,Yes
[Signal List]
Signal #1,Time (min)
Signal #2,Temperature (°C)
Signal #3,Heat Flow (mW)
Signal #4,Delta T (µV)
Signal #5,Delta Tzero (µV)
Signal #6,Tzero Temperature (°C)
Signal #7,Cell Purge (mL/min)
Signal #8,Heater Temp (°C)
Signal #9,Power Delivered (W)
Signal #10,Reference Junction Temperature (°C)
Signal #11,Flange Temperature (°C)
Signal #12,Heat Flow Phase (rad)
Signal #13,Total Heat Capacity (J/°C)
Signal #14,Heat Capacity (J/°C)
[Configuration]
Company Name,ASU
Instrument Name,DSC2A-00468
Instrument Type,DSC2500
Serial Number,DSC2A-00468
IP,192.168.1.100
Location of Instrument,MRRC
DisplayType,Unknown
Sample Interval ,0.1 s/pt
Selected Heat Flow,T4P
Exotherm Direction,Down
Cell Serial,DRC2-00792
Lid Type,Standard
Cooler,RCS 90
Leave Cooler on at End of Sequence,On
Gas 2,Nitrogen
Gas Selected,Channel 1
Flow Rate,50 mL/min
Secondary Purge,On
Licensed Heat Flow,Heat Flow T4P
Modulation Licensed,Yes
[Versions]
Common IDD Version,1
Cortex Version,VER 2.10.2.31
Driver,5.0.0.6
GDM Version,1.0.3.3
TouchscreenVersion,1.0.0.16145
FEP Version,1.2.1.21
FEP Bootloader,2.0.0.5
AutoSampler Version,2.1.1.26
Auto Sampler Bootloader,2.0.0.5
FCM Version,1.1.0.3
FCM Bootloader,2.0.0.5
[Experiment Logs]
Experiment Log Entry # 1,Data On set to 0
Experiment Log Entry # 3,Equilibrate Segment 100 (C) Started
Experiment Log Entry # 5,Air Cool is off.
Experiment Log Entry # 7,Data On set to 1
Experiment Log Entry # 9,Ramp Segment 10 C/min to 200 Started
Experiment Log Entry # 11,Data On set to 0
Experiment Log Entry # 13,Isothermal Segment 1 min started
Experiment Log Entry # 15,Data On set to 1
Experiment Log Entry # 17,Ramp Segment 10 C/min to 100 Started
Experiment Log Entry # 19,Data On set to 0
Experiment Log Entry # 21,Isothermal Segment 1 min started
Experiment Log Entry # 23,Data On set to 1
Experiment Log Entry # 25,Ramp Segment 10 C/min to 200 Started
Experiment Log Entry # 27,Data On set to 0
Experiment Log Entry # 29,Isothermal Segment 1 min started
Experiment Log Entry # 31,Data On set to 1
Experiment Log Entry # 33,Ramp Segment 10 C/min to 100 Started
[Method Log]
Method Log Entry # 1,Data Off
Method Log Entry # 2,Equilibrate 100 °C
Method Log Entry # 3,Data On
Method Log Entry # 4,(Ramp 43034) Ramp 10 °C/minute to 200 °C
Method Log Entry # 5,Data Off
Method Log Entry # 6,Isothermal 1 minutes
Method Log Entry # 7,Data On
Method Log Entry # 8,(Ramp 43038) Ramp 10 °C/minute to 100 °C
Method Log Entry # 9,Data Off
Method Log Entry # 10,Isothermal 1 minutes
Method Log Entry # 11,Data On
Method Log Entry # 12,(Ramp 43042) Ramp 10 °C/minute to 200 °C
Method Log Entry # 13,Data Off
Method Log Entry # 14,Isothermal 1 minutes
Method Log Entry # 15,Data On
Method Log Entry # 16,(Ramp 43046) Ramp 10 °C/minute to 100 °C
Cell Serial,DRC2-00792
[T1 Calibration]
Slope,-0.008529666
Offset,9.636258
Initial Temperature,98.23
GUID,f8bfdadc-4977-4fdf-ba6d-0ba9134940c3
[TZero Calibration]
Date Applied,11/29/2022 4:06:13 PM
Description,From -89.059 °C to 396.009 °C at 20.000°C/min
Gas Type,Nitrogen
Pan Type,None
Source Files 1,C:\Users\yargerlab\Desktop\DSC Data\General\TZero_calibration_11_29_22_2nd(2).tri
Source Files 2,C:\Users\yargerlab\Desktop\DSC Data\General\TZero_calibration_11_29_22_2nd(3).tri
Delta T Offset,13.05235
Delta T Slope,-0.007271007
Delta T0 Offset,-13.69128
Delta T0 Slope,0.06063341
[Temperature Calibration]
Date Applied,11/29/2022 7:12:28 PM
Description,From 106.590 °C to 186.590 °C at 10.000°C/min
Gas Type,Nitrogen
Pan Type,Tzero Aluminum Hermetic
Source Files 1,C:\Users\yargerlab\Desktop\DSC Data\General\Indium(6).tri
Measured 1,157.391
Known 1,156.598
[Cell Constant Calibration]
Date Applied,11/29/2022 7:12:29 PM
Description,From 106.590 °C to 186.590 °C at 10.000°C/min
Gas Type,Nitrogen
Pan Type,Tzero Aluminum Hermetic
Source Files 1,C:\Users\yargerlab\Desktop\DSC Data\General\Indium(6).tri
T4P KCell,1.006051
Onset Slope,63.26126 mW/°C
[Direct Cp Calibration]
Date Applied,11/30/2022 11:04:51 AM
Description,From -79.983 °C to 298.409 °C at 10.000°C/min
Gas Type,Nitrogen
Pan Type,Tzero Aluminum Hermetic
Source Files 1,C:\Users\yargerlab\Desktop\DSC Data\General\Sapphire_Heat_Capacity_11_30_22.tri
[Rev Cp Calibration]
Date Applied,11/30/2022 1:58:51 PM
Description,From -79.996 °C to 292.812 °C at 3.000°C/min
Gas Type,Nitrogen
Pan Type,Tzero Aluminum Hermetic
Source Files 1,C:\Users\yargerlab\Desktop\DSC Data\General\Sapphire_MDSC_Calibration_11_30_22.tri
[step]
Ramp 10.00 °C/min to 200.00 °C
Time,Temperature,Heat Flow (Normalized)
min,°C,W/g
0.00,100.12,-0.024
0.00,100.12,-0.024
0.00,100.12,-0.024
0.01,100.12,-0.024
0.01,100.12,-0.024
0.01,100.12,-0.024
0.01,100.12,-0.024
0.01,100.12,-0.024
0.01,100.12,-0.024
0.01,100.12,-0.024
0.02,100.12,-0.024
0.02,100.12,-0.024
0.02,100.12,-0.024
0.02,100.12,-0.024
0.02,100.12,-0.024
0.03,100.12,-0.024
0.03,100.13,-0.024
0.03,100.13,-0.024
0.03,100.13,-0.024
0.03,100.13,-0.024
0.03,100.13,-0.024
0.03,100.13,-0.024
0.04,100.13,-0.024
0.04,100.13,-0.024
0.04,100.13,-0.024
0.04,100.13,-0.024
0.04,100.13,-0.024
0.05,100.13,-0.024
0.05,100.14,-0.024
0.05,100.14,-0.024
0.05,100.14,-0.024
0.05,100.14,-0.024
0.05,100.14,-0.024
0.05,100.14,-0.024
0.06,100.14,-0.024
0.06,100.15,-0.024
0.06,100.15,-0.024
0.06,100.15,-0.024
0.06,100.15,-0.024
0.07,100.15,-0.024
0.07,100.16,-0.024
0.07,100.16,-0.024
0.07,100.16,-0.024
0.07,100.16,-0.024
0.07,100.17,-0.024
0.08,100.17,-0.023
0.08,100.17,-0.023
0.08,100.18,-0.023
0.08,100.18,-0.022
0.08,100.18,-0.022
0.08,100.19,-0.021
0.08,100.19,-0.021
0.09,100.20,-0.020
0.09,100.20,-0.019
0.09,100.21,-0.018
0.09,100.21,-0.017
0.09,100.22,-0.016
0.09,100.22,-0.015
0.10,100.23,-0.014
0.10,100.23,-0.013
0.10,100.24,-0.013
0.10,100.24,-0.012
0.10,100.25,-0.011
0.11,100.26,-0.011
0.11,100.26,-0.010
0.11,100.27,-0.009
0.11,100.28,-0.008
0.11,100.28,-0.008
0.11,100.29,-0.007
0.12,100.30,-0.006
0.12,100.31,-0.005
0.12,100.31,-0.004
0.12,100.32,-0.004
0.12,100.33,-0.003
0.12,100.34,-0.002
0.13,100.35,-0.001
0.13,100.36,-0.001
0.13,100.36,0.000
0.13,100.37,0.001
0.13,100.38,0.002
0.13,100.39,0.002
0.14,100.40,0.003
0.14,100.41,0.004
0.14,100.42,0.005
0.14,100.43,0.005
0.14,100.44,0.006
0.14,100.45,0.006
0.14,100.46,0.007
0.15,100.47,0.008
0.15,100.48,0.009
0.15,100.49,0.010
0.15,100.50,0.010
0.15,100.51,0.011
0.16,100.52,0.012
0.16,100.54,0.012
0.16,100.55,0.013
0.16,100.56,0.013
0.16,100.57,0.014
0.16,100.58,0.015
0.16,100.59,0.016
0.17,100.61,0.017
0.17,100.62,0.017
0.17,100.63,0.018
0.17,100.64,0.018
0.17,100.66,0.018
0.18,100.67,0.019
0.18,100.68,0.019
0.18,100.69,0.020
0.18,100.70,0.020
0.18,100.72,0.021
0.18,100.73,0.021
0.19,100.74,0.022
0.19,100.76,0.023
0.19,100.77,0.023
0.19,100.78,0.024
0.19,100.80,0.025
0.19,100.81,0.025
0.19,100.82,0.025
0.20,100.84,0.026
0.20,100.85,0.026
0.20,100.86,0.026
0.20,100.88,0.027
0.20,100.89,0.027
0.21,100.91,0.028
0.21,100.92,0.028
0.21,100.93,0.029
0.21,100.95,0.030
0.21,100.96,0.030
0.21,100.98,0.030
0.21,100.99,0.031
0.22,101.00,0.031
0.22,101.02,0.032
0.22,101.03,0.032
0.22,101.05,0.032
0.22,101.06,0.032
0.23,101.07,0.033
0.23,101.09,0.033
0.23,101.10,0.033
0.23,101.12,0.034
0.23,101.13,0.034
0.23,101.15,0.034
0.24,101.16,0.034
0.24,101.18,0.035
0.24,101.19,0.035
0.24,101.21,0.035
0.24,101.22,0.035
0.24,101.23,0.035
0.24,101.25,0.036
0.25,101.26,0.036
0.25,101.28,0.036
0.25,101.29,0.036
0.25,101.31,0.037
0.25,101.32,0.037
0.26,101.34,0.038
0.26,101.36,0.038
0.26,101.37,0.038
0.26,101.38,0.039
0.26,101.40,0.039
0.26,101.42,0.039
0.26,101.43,0.039
0.27,101.45,0.039
0.27,101.46,0.039
0.27,101.48,0.039
0.27,101.49,0.039
0.27,101.51,0.039
0.28,101.52,0.040
0.28,101.54,0.040
0.28,101.55,0.040
0.28,101.57,0.040
0.28,101.58,0.040
0.28,101.60,0.040
0.29,101.61,0.041
0.29,101.63,0.041
0.29,101.64,0.041
0.29,101.66,0.041
0.29,101.68,0.041
0.29,101.69,0.042
0.30,101.71,0.042
0.30,101.72,0.042
0.30,101.74,0.042
0.30,101.75,0.042
0.30,101.77,0.043
0.30,101.78,0.043
0.30,101.80,0.043
0.31,101.82,0.043
0.31,101.83,0.043
0.31,101.85,0.043
0.31,101.86,0.043
0.31,101.88,0.043
0.31,101.89,0.043
0.32,101.91,0.043
0.32,101.93,0.043
0.32,101.94,0.043
0.32,101.96,0.043
0.32,101.97,0.043
0.33,101.99,0.044
0.33,102.00,0.044
0.33,102.02,0.044
0.33,102.04,0.044
0.33,102.05,0.044
0.33,102.07,0.044
0.34,102.08,0.044
0.34,102.10,0.045
0.34,102.12,0.045
0.34,102.13,0.045
0.34,102.15,0.045
0.34,102.16,0.045
0.35,102.18,0.045
