Instrument name,DSC2A-00468
Operator,Yarger
Sample name,Benzoic_Acid
[step]
Ramp 5.00 °C/min to 150.00 °C
Time,Temperature,Heat Flow (Normalized)
min,°C,W/g
0.00,30.07,-0.007
0.00,30.07,-0.007
0.00,30.07,-0.007
0.01,30.07,-0.007
0.01,30.07,-0.007
0.01,30.07,-0.007
0.01,30.07,-0.007
0.01,30.07,-0.007
0.01,30.07,-0.007
0.01,30.07,-0.007
0.02,30.07,-0.007
0.02,30.07,-0.007
0.02,30.07,-0.007
0.02,30.07,-0.007
0.02,30.07,-0.007
0.03,30.07,-0.007
0.03,30.07,-0.007
0.03,30.07,-0.007
0.03,30.07,-0.007
0.03,30.07,-0.007
0.03,30.07,-0.007
0.03,30.07,-0.007
0.04,30.07,-0.007
0.04,30.07,-0.007
0.04,30.08,-0.007
0.04,30.07,-0.007
0.04,30.08,-0.007
0.05,30.08,-0.007
0.05,30.08,-0.007
0.05,30.08,-0.007
0.05,30.08,-0.007
0.05,30.08,-0.007
0.05,30.08,-0.007
0.05,30.08,-0.007
0.06,30.08,-0.007
0.06,30.08,-0.007
0.06,30.08,-0.007
0.06,30.08,-0.007
0.06,30.08,-0.007
0.07,30.09,-0.007
0.07,30.08,-0.007
0.07,30.09,-0.007
0.07,30.09,-0.007
0.07,30.09,-0.007
0.07,30.09,-0.007
0.08,30.09,-0.006
0.08,30.09,-0.006
0.08,30.09,-0.006
0.08,30.10,-0.006
0.08,30.10,-0.006
0.08,30.10,-0.006
0.08,30.10,-0.006
0.09,30.10,-0.006
0.09,30.11,-0.006
0.09,30.11,-0.006
0.09,30.11,-0.005
0.09,30.11,-0.005
0.09,30.11,-0.005
0.10,30.12,-0.005
0.10,30.12,-0.005
0.10,30.12,-0.004
0.10,30.12,-0.004
0.10,30.13,-0.004
0.11,30.13,-0.003
0.11,30.13,-0.003
0.11,30.14,-0.002
0.11,30.14,-0.002
0.11,30.14,-0.001
0.11,30.15,0.000
0.12,30.15,0.000
0.12,30.15,0.001
0.12,30.16,0.002
0.12,30.16,0.003
0.12,30.17,0.003
0.12,30.17,0.004
0.13,30.17,0.005
0.13,30.18,0.006
0.13,30.18,0.007
0.13,30.19,0.008
0.13,30.19,0.009
0.13,30.20,0.010
0.14,30.20,0.011
0.14,30.21,0.012
0.14,30.21,0.013
0.14,30.21,0.014
0.14,30.22,0.015
0.14,30.22,0.016
0.14,30.23,0.017
0.15,30.24,0.018
0.15,30.24,0.019
0.15,30.25,0.021
0.15,30.25,0.022
0.15,30.26,0.023
0.16,30.26,0.024
0.16,30.27,0.026
0.16,30.27,0.028
0.16,30.28,0.029
0.16,30.28,0.030
0.16,30.29,0.031
0.16,30.30,0.032
0.17,30.30,0.032
0.17,30.31,0.032
0.17,30.31,0.033
0.17,30.32,0.033
0.17,30.33,0.034
0.18,30.33,0.035
0.18,30.34,0.036
0.18,30.34,0.037
0.18,30.35,0.037
0.18,30.36,0.038
0.18,30.36,0.039
0.19,30.37,0.040
0.19,30.37,0.041
0.19,30.38,0.042
0.19,30.39,0.042
0.19,30.39,0.043
0.19,30.40,0.044
0.19,30.41,0.044
0.20,30.41,0.045
0.20,30.42,0.046
0.20,30.43,0.046
0.20,30.43,0.047
0.20,30.44,0.047
0.21,30.45,0.048
0.21,30.45,0.048
0.21,30.46,0.049
0.21,30.47,0.049
0.21,30.47,0.050
0.21,30.48,0.050
0.21,30.49,0.050
0.22,30.49,0.051
0.22,30.50,0.051
0.22,30.51,0.051
0.22,30.52,0.051
0.22,30.52,0.051
0.23,30.53,0.052
0.23,30.54,0.052
0.23,30.54,0.053
0.23,30.55,0.054
0.23,30.56,0.054
0.23,30.56,0.055
0.24,30.57,0.055
0.24,30.58,0.055
0.24,30.58,0.055
0.24,30.59,0.055
0.24,30.60,0.056
0.24,30.61,0.056
0.24,30.61,0.056
0.25,30.62,0.057
0.25,30.63,0.057
0.25,30.64,0.058
0.25,30.64,0.058
0.25,30.65,0.058
0.26,30.66,0.058
0.26,30.67,0.058
0.26,30.67,0.058
0.26,30.68,0.058
0.26,30.69,0.058
0.26,30.70,0.059
0.26,30.70,0.059
