Instrument name,DSC2A-00468
Operator,Jeff Yarger
Sample name,Indium
[step]
Ramp 10.00 °C/min to 200.00 °C
Time,Temperature,Heat Flow (Normalized)
min,°C,W/g
36.00,30.13,-0.010
36.01,30.13,-0.010
36.01,30.13,-0.010
36.01,30.13,-0.010
36.01,30.13,-0.010
36.01,30.13,-0.010
36.01,30.13,-0.010
36.01,30.13,-0.010
36.02,30.13,-0.010
36.02,30.13,-0.010
36.02,30.13,-0.010
36.02,30.13,-0.010
36.02,30.13,-0.010
36.03,30.13,-0.010
36.03,30.13,-0.010
36.03,30.13,-0.010
36.03,30.13,-0.010
36.03,30.13,-0.010
36.03,30.13,-0.010
36.04,30.13,-0.010
36.04,30.13,-0.010
36.04,30.13,-0.010
36.04,30.13,-0.010
36.04,30.14,-0.010
36.04,30.14,-0.009
36.04,30.14,-0.009
36.05,30.14,-0.009
36.05,30.14,-0.009
36.05,30.14,-0.009
36.05,30.14,-0.008
36.05,30.14,-0.008
36.06,30.14,-0.007
36.06,30.14,-0.006
36.06,30.15,-0.005
36.06,30.15,-0.004
36.06,30.15,-0.003
36.06,30.15,-0.001
36.06,30.15,0.000
36.07,30.15,0.002
36.07,30.16,0.003
36.07,30.16,0.005
36.07,30.16,0.006
36.07,30.16,0.007
36.08,30.17,0.008
36.08,30.17,0.009
36.08,30.17,0.011
36.08,30.18,0.012
36.08,30.18,0.014
36.08,30.18,0.015
36.09,30.19,0.016
36.09,30.19,0.018
36.09,30.19,0.019
36.09,30.20,0.021
36.09,30.20,0.022
36.09,30.21,0.024
36.09,30.21,0.025
36.10,30.22,0.027
36.10,30.22,0.028
36.10,30.23,0.030
36.10,30.23,0.032
36.10,30.24,0.034
36.11,30.24,0.035
36.11,30.25,0.037
36.11,30.26,0.038
36.11,30.26,0.040
36.11,30.27,0.041
36.11,30.28,0.043
36.11,30.29,0.044
36.12,30.29,0.045
36.12,30.30,0.047
36.12,30.31,0.048
36.12,30.32,0.049
36.12,30.32,0.051
36.13,30.33,0.052
36.13,30.34,0.053
36.13,30.35,0.054
36.13,30.36,0.055
36.13,30.37,0.056
36.13,30.38,0.057
36.14,30.39,0.058
36.14,30.39,0.059
36.14,30.40,0.060
36.14,30.41,0.061
36.14,30.42,0.062
36.14,30.43,0.062
36.14,30.44,0.063
36.15,30.45,0.064
36.15,30.47,0.065
36.15,30.47,0.065
36.15,30.49,0.066
36.15,30.50,0.066
36.16,30.51,0.067
36.16,30.52,0.067
36.16,30.53,0.068
36.16,30.54,0.068
36.16,30.55,0.069
36.16,30.56,0.069
36.16,30.58,0.070
36.17,30.59,0.070
36.17,30.60,0.071
36.17,30.61,0.071
36.17,30.62,0.072
36.17,30.63,0.072
36.18,30.65,0.072
36.18,30.66,0.073
36.18,30.67,0.073
36.18,30.68,0.073
36.18,30.70,0.073
36.18,30.71,0.073
36.19,30.72,0.073
36.19,30.73,0.074
36.19,30.75,0.074
36.19,30.76,0.074
36.19,30.77,0.074
36.19,30.79,0.074
36.19,30.80,0.074
36.20,30.81,0.075
36.20,30.82,0.075
36.20,30.84,0.075
36.20,30.85,0.075
36.20,30.87,0.075
36.21,30.88,0.075
36.21,30.89,0.075
36.21,30.91,0.076
36.21,30.92,0.076
36.21,30.93,0.076
36.21,30.95,0.076
36.21,30.96,0.076
36.22,30.97,0.076
36.22,30.99,0.076
36.22,31.00,0.076
36.22,31.01,0.077
36.22,31.03,0.077
36.23,31.04,0.077
36.23,31.06,0.077
36.23,31.07,0.077
36.23,31.08,0.077
36.23,31.10,0.077
36.23,31.11,0.077
36.24,31.13,0.077
36.24,31.14,0.078
36.24,31.15,0.078
36.24,31.17,0.078
36.24,31.18,0.078
36.24,31.20,0.078
36.24,31.21,0.078
36.25,31.23,0.079
36.25,31.24,0.079
36.25,31.26,0.079
36.25,31.27,0.079
36.25,31.28,0.079
36.26,31.30,0.079
36.26,31.31,0.079
36.26,31.33,0.080
36.26,31.34,0.080
36.26,31.36,0.080
36.26,31.37,0.080
36.26,31.39,0.080
36.27,31.40,0.080
36.27,31.42,0.080
36.27,31.43,0.080
36.27,31.45,0.080
36.27,31.46,0.080
36.28,31.48,0.081
36.28,31.49,0.081
36.28,31.51,0.081
36.28,31.52,0.081
36.28,31.54,0.081
36.28,31.55,0.081
36.29,31.57,0.081
36.29,31.58,0.081
36.29,31.60,0.081
36.29,31.61,0.081
36.29,31.63,0.081
36.29,31.64,0.082
36.29,31.66,0.082
36.30,31.67,0.082
36.30,31.69,0.082
36.30,31.70,0.082
36.30,31.72,0.082
36.30,31.74,0.082
36.31,31.75,0.082
36.31,31.77,0.082
36.31,31.78,0.082
36.31,31.80,0.082
36.31,31.81,0.082
36.31,31.83,0.082
36.31,31.84,0.082
36.32,31.86,0.082
36.32,31.87,0.082
36.32,31.89,0.082
36.32,31.90,0.083
36.32,31.92,0.083
36.33,31.94,0.083
36.33,31.95,0.083
36.33,31.97,0.083
36.33,31.98,0.083
36.33,32.00,0.083
36.33,32.01,0.083
36.34,32.03,0.083
36.34,32.04,0.083
36.34,32.06,0.083
36.34,32.08,0.083
36.34,32.09,0.083
36.34,32.11,0.083
36.34,32.12,0.083
36.35,32.14,0.083
36.35,32.16,0.083
36.35,32.17,0.083
36.35,32.19,0.083
36.35,32.20,0.083
36.36,32.22,0.083
36.36,32.23,0.083
36.36,32.25,0.083
36.36,32.27,0.083
36.36,32.28,0.083
36.36,32.30,0.083
36.36,32.31,0.084
36.37,32.33,0.084
36.37,32.35,0.084
36.37,32.36,0.084
36.37,32.38,0.084
36.37,32.39,0.084
36.38,32.41,0.084
36.38,32.42,0.084
36.38,32.44,0.084
36.38,32.46,0.084
36.38,32.47,0.084
36.38,32.49,0.084
36.39,32.50,0.084
36.39,32.52,0.084
36.39,32.54,0.084
36.39,32.55,0.084
36.39,32.57,0.084
36.39,32.59,0.084
36.39,32.60,0.084
36.40,32.62,0.084
36.40,32.63,0.084
36.40,32.65,0.084
36.40,32.66,0.084
36.40,32.68,0.084
36.41,32.70,0.084
36.41,32.71,0.084
36.41,32.73,0.084
36.41,32.75,0.084
36.41,32.76,0.084
36.41,32.78,0.084
36.41,32.79,0.084
36.42,32.81,0.084
36.42,32.83,0.084
36.42,32.84,0.084
36.42,32.86,0.084
36.42,32.87,0.084
36.43,32.89,0.084
36.43,32.91,0.084
36.43,32.92,0.084
36.43,32.94,0.084
36.43,32.96,0.084
36.43,32.97,0.084
36.44,32.99,0.084
36.44,33.01,0.084
36.44,33.02,0.084
36.44,33.04,0.084
36.44,33.05,0.084
36.44,33.07,0.084
36.44,33.08,0.084
36.45,33.10,0.084
36.45,33.12,0.084
36.45,33.13,0.084
36.45,33.15,0.084
36.45,33.17,0.084
36.46,33.18,0.084
36.46,33.20,0.084
36.46,33.21,0.084
36.46,33.23,0.084
36.46,33.25,0.084
36.46,33.26,0.084
36.46,33.28,0.084
36.47,33.30,0.084
36.47,33.31,0.084
36.47,33.33,0.084
36.47,33.34,0.084
36.47,33.36,0.084
36.48,33.38,0.084
36.48,33.39,0.084
36.48,33.41,0.084
36.48,33.43,0.084
36.48,33.44,0.084
36.48,33.46,0.085
36.49,33.48,0.085
36.49,33.49,0.085
36.49,33.51,0.085
36.49,33.53,0.085
36.49,33.54,0.085
36.49,33.56,0.085
36.49,33.57,0.085
36.50,33.59,0.085
36.50,33.61,0.085
36.50,33.62,0.085
36.50,33.64,0.085
36.50,33.66,0.085
36.51,33.67,0.085
36.51,33.69,0.085
36.51,33.70,0.085
36.51,33.72,0.085
36.51,33.74,0.085
36.51,33.75,0.085
36.51,33.77,0.085
36.52,33.79,0.085
36.52,33.80,0.085
36.52,33.82,0.085
36.52,33.83,0.085
36.52,33.85,0.085
36.53,33.87,0.085
36.53,33.88,0.085
36.53,33.90,0.085
36.53,33.92,0.085
36.53,33.93,0.085
36.53,33.95,0.085
