Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Azulene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),2.0000
Water Temp (deg C),25.53
Room Temp (deg C),25.53
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.021
=====,=====
Time (s),Temperature (C)
0.00,25.53
30.00,25.52
60.00,25.52
90.00,25.53
120.00,25.52
150.00,25.54
180.00,25.55
210.00,25.53
240.00,25.52
270.00,25.54
300.00,25.54
330.00,26.98
360.00,29.26
390.00,31.01
420.00,32.12
450.00,32.83
480.00,33.20
510.00,33.44
540.00,33.56
570.00,33.63
600.00,33.68
630.00,33.70
660.00,33.72
690.00,33.68
720.00,33.70
750.00,33.67
780.00,33.69
810.00,33.67
840.00,33.66
870.00,33.68
900.00,33.67
930.00,33.65
960.00,33.68
