Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1275
Sample Name,Azulene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.9000
Water Temp (deg C),29.90
Room Temp (deg C),25.56
Water Volume (L),2.0
Wire Before (g),0.030
Wire After (g),0.024
=====,=====
Time (s),Temperature (C)
0.00,29.90
30.00,29.88
60.00,29.90
90.00,29.89
120.00,29.87
150.00,29.87
180.00,29.88
210.00,29.87
240.00,29.88
270.00,29.88
300.00,29.88
330.00,31.31
360.00,33.53
390.00,35.22
420.00,36.28
450.00,36.88
480.00,37.26
510.00,37.45
540.00,37.56
570.00,37.62
600.00,37.62
630.00,37.64
660.00,37.66
690.00,37.66
720.00,37.64
750.00,37.64
780.00,37.62
810.00,37.61
840.00,37.61
870.00,37.57
900.00,37.60
930.00,37.57
960.00,37.57
