Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),2.0000
Water Temp (deg C),24.66
Room Temp (deg C),24.66
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,24.66
30.00,24.65
60.00,24.65
90.00,24.68
120.00,24.66
150.00,24.65
180.00,24.68
210.00,24.65
240.00,24.67
270.00,24.66
300.00,24.67
330.00,25.60
360.00,27.04
390.00,28.18
420.00,28.91
450.00,29.33
480.00,29.59
510.00,29.73
540.00,29.79
570.00,29.86
600.00,29.89
630.00,29.88
660.00,29.89
690.00,29.88
720.00,29.90
750.00,29.89
780.00,29.90
810.00,29.87
840.00,29.88
870.00,29.88
900.00,29.86
930.00,29.87
960.00,29.86
