Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),1.1000
Water Temp (deg C),23.10
Room Temp (deg C),22.58
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.017
=====,=====
Time (s),Temperature (C)
0.00,23.10
30.00,23.10
60.00,23.08
90.00,23.10
120.00,23.08
150.00,23.10
180.00,23.10
210.00,23.12
240.00,23.10
270.00,23.11
300.00,23.10
330.00,23.60
360.00,24.40
390.00,25.03
420.00,25.44
450.00,25.65
480.00,25.80
510.00,25.88
540.00,25.94
570.00,25.94
600.00,25.98
630.00,25.97
660.00,25.96
690.00,25.98
720.00,25.95
750.00,25.98
780.00,25.96
810.00,25.95
840.00,25.98
870.00,25.94
900.00,25.97
930.00,25.95
960.00,25.97
