Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1275
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),1.9000
Water Temp (deg C),29.90
Room Temp (deg C),22.89
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.025
=====,=====
Time (s),Temperature (C)
0.00,29.90
30.00,29.89
60.00,29.91
90.00,29.90
120.00,29.89
150.00,29.88
180.00,29.88
210.00,29.88
240.00,29.86
270.00,29.87
300.00,29.87
330.00,30.76
360.00,32.17
390.00,33.27
420.00,33.96
450.00,34.32
480.00,34.58
510.00,34.69
540.00,34.74
570.00,34.78
600.00,34.81
630.00,34.82
660.00,34.80
690.00,34.81
720.00,34.80
750.00,34.77
780.00,34.77
810.00,34.77
840.00,34.77
870.00,34.77
900.00,34.73
930.00,34.73
960.00,34.73
