Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),2.0000
Water Temp (deg C),23.99
Room Temp (deg C),23.99
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.015
=====,=====
Time (s),Temperature (C)
0.00,23.99
30.00,23.98
60.00,23.97
90.00,23.97
120.00,23.99
150.00,23.99
180.00,23.98
210.00,23.99
240.00,23.98
270.00,23.98
300.00,23.98
330.00,25.41
360.00,27.61
390.00,29.32
420.00,30.41
450.00,31.07
480.00,31.44
510.00,31.69
540.00,31.78
570.00,31.89
600.00,31.89
630.00,31.93
660.00,31.94
690.00,31.91
720.00,31.93
750.00,31.90
780.00,31.91
810.00,31.92
840.00,31.89
870.00,31.90
900.00,31.87
930.00,31.88
960.00,31.86
